id,doi,is_oa,source,oa_url,host_type
775,10.1214/11-AOS898,True,unpaywall,https://projecteuclid.org/journals/annals-of-statistics/volume-39/issue-5/Optimal-estimation-of-the-mean-function-based-on-discretely-sampled/10.1214/11-AOS898.pdf,publisher
776,10.1007/s11009-014-9424-5,True,unpaywall,http://hdl.handle.net/10481/72908,repository
777,10.1016/j.jmva.2003.08.008,False,,,
778,10.1080/02664763.2015.1103706,True,semantic_scholar,https://arxiv.org/pdf/1501.07047,
779,10.1007/s10651-016-0351-1,False,,,
780,10.1080/01621459.2013.826134,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/3909538,repository
781,10.1016/j.mcm.2010.03.008,True,semantic_scholar,https://doi.org/10.1016/j.mcm.2010.03.008,
782,10.1016/j.jspi.2010.11.003,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/3117473,repository
783,10.2202/1557-4679.1246,True,unpaywall,https://www.degruyter.com/document/doi/10.2202/1557-4679.1246/pdf,publisher
784,10.1080/01621459.2016.1147355,True,unpaywall,https://doi.org/10.1080/01621459.2016.1147355,publisher
785,,False,,,sin_doi
786,10.1080/02664763.2015.1019842,True,unpaywall,https://figshare.com/articles/journal_contribution/Smoothed_functional_canonical_correlation_analysis_of_humidity_and_temperature_data/1381782,repository
787,10.1016/j.csda.2011.12.016,False,,,
788,10.1002/qre.737,False,,,
789,10.1111/rssb.12036,True,unpaywall,https://academic.oup.com/jrsssb/article-pdf/76/3/581/49507884/jrsssb_76_3_581.pdf,publisher
790,,False,,,sin_doi
791,10.1002/0470011815.b2a12053,False,,,
793,10.1080/00401706.2013.879076,True,semantic_scholar,https://arxiv.org/pdf/1103.2486,
794,10.1007/s11634-011-0095-6,True,unpaywall,http://hdl.handle.net/20.500.12210/29348,repository
795,10.1093/bioinformatics/bti254,True,unpaywall,https://academic.oup.com/bioinformatics/article-pdf/21/9/1764/48972688/bioinformatics_21_9_1764.pdf,publisher
796,10.1016/j.jspi.2014.11.007,False,,,
797,10.1007/s11222-013-9425-1,False,,,
798,10.1016/j.jmva.2013.10.019,True,semantic_scholar,https://doi.org/10.1016/j.jmva.2013.10.019,
799,10.1007/s11336-011-9234-4,False,,,
800,10.1214/07-AOS552,True,unpaywall,https://projecteuclid.org/journals/annals-of-statistics/volume-37/issue-1/Functional-deconvolution-in-a-periodic-setting-Uniform-case/10.1214/07-AOS552.pdf,publisher
801,10.1111/j.1541-0420.2007.00758.x,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1541-0420.2007.00758.x,publisher
802,10.1007/s00357-014-9162-y,True,unpaywall,http://hdl.handle.net/10481/72918,repository
803,10.1002/0470013192.bsa239,False,,,
804,10.1080/01621459.2015.1016225,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/4721272,repository
805,10.1002/cem.2849,False,,,
806,10.1002/wics.1394,False,,,
807,10.1016/j.csda.2014.07.001,False,,,
808,10.1080/00207540500539784,False,,,
809,10.1080/01621459.1998.10473763,True,unpaywall,https://www.tandfonline.com/doi/abs/10.1080/01621459.1998.10473763,publisher
810,10.1007/s10651-013-0241-8,False,,,
811,10.1016/j.csda.2006.09.038,False,,,
812,10.1198/016214506000000465,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/2630189,repository
813,10.1007/978-3-319-12568-8_99,True,unpaywall,https://link.springer.com/content/pdf/10.1007/978-3-319-12568-8_99.pdf,repository
814,10.1093/biostatistics/kxi020,True,semantic_scholar,http://biostatistics.oxfordjournals.org/content/early/2005/04/14/biostatistics.kxi020.full.pdf,
815,10.1093/biomet/89.1.145,False,,,
816,,False,,,sin_doi
817,10.1080/00207540500222647,False,,,
818,10.1002/env.750,False,,,
819,10.1007/s11222-009-9156-5,False,,,
820,10.1016/j.cam.2012.02.028,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S0377042712000854/pdf,publisher
821,10.1111/biom.12211,False,,,
822,10.1111/j.1541-0420.2009.01233.x,False,,,
823,,False,,,sin_doi
824,10.1093/biomet/asu053,False,,,
825,10.22237/jmasm/1462075980,True,unpaywall,https://digitalcommons.wayne.edu/cgi/viewcontent.cgi?article=1868&context=jmasm,publisher
826,10.1111/j.0006-341X.2001.00253.x,False,,,
827,10.1016/j.jeconom.2016.05.006,True,semantic_scholar,https://www.sciencedirect.com/science/article/am/pii/S0304407616300963,
828,10.1093/biostatistics/kxv015,True,unpaywall,https://academic.oup.com/biostatistics/article-pdf/16/4/754/5022824/kxv015.pdf,publisher
829,10.1080/00224065.2004.11980276,False,,,
830,10.1007/s13571-011-0014-z,False,,,
831,10.1007/s10260-015-0311-1,False,,,
832,10.1016/j.jspi.2013.11.006,False,,,
833,10.1002/env.946,False,,,
835,10.1111/j.1467-9876.2008.00653.x,True,unpaywall,https://academic.oup.com/jrsssc/article-pdf/58/3/285/50008481/jrsssc_58_3_285.pdf,publisher
836,10.1016/j.compbiolchem.2007.05.006,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/1992527,repository
837,10.1198/jabes.2009.0004,False,,,
838,10.1016/j.spl.2010.08.020,False,,,
839,10.1007/s11336-012-9268-2,False,,,
840,10.1007/978-3-319-41582-6_15,False,,,
841,10.5705/ss.2010.034,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/3583240,repository
842,,False,,,sin_doi
843,10.1016/j.jmva.2008.03.008,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S0047259X08000973/pdf,publisher
844,10.1016/j.jspi.2013.12.008,True,unpaywall,https://arxiv.org/pdf/1305.0274,repository
845,10.1142/S0218127410027805,False,,,
846,,False,,,sin_doi
847,10.1002/sim.2887,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.2887,publisher
848,10.1214/09-EJS525,True,unpaywall,https://projecteuclid.org/journals/electronic-journal-of-statistics/volume-3/issue-none/Semiparametric-regression-during-20032007/10.1214/09-EJS525.pdf,publisher
849,10.1002/sim.2952,False,,,
850,10.1111/biom.12299,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/4575250,repository
851,10.1111/j.1467-9876.2007.00606.x,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1467-9876.2007.00606.x,publisher
